 Edad,sexo,valor,tipo de seguro
"0-4","Mujeres",2.35941801022414,"IMSS"
"5-9","Mujeres",2.94927251278018,"IMSS"
"10-14","Mujeres",3.02791977978765,"IMSS"
"15-19","Mujeres",4.64018875344082,"IMSS"
"20-24","Mujeres",3.38183248132127,"IMSS"
"25-29","Mujeres",4.24695241840346,"IMSS"
"30-34","Mujeres",3.65709791584742,"IMSS"
"35-39","Mujeres",3.53912701533622,"IMSS"
"40-44","Mujeres",3.93236335037357,"IMSS"
"45-49","Mujeres",3.97168698387731,"IMSS"
"50-54","Mujeres",3.3031852143138,"IMSS"
"55-59","Mujeres",3.14589068029886,"IMSS"
"60-64","Mujeres",3.26386158081007,"IMSS"
"65+","Mujeres",8.49390483680692,"IMSS"
"0-4","hombres",2.24144710971294,"IMSS"
"5-9","hombres",2.87062524577271,"IMSS"
"10-14","hombres",3.26386158081007,"IMSS"
"15-19","hombres",4.32559968541093,"IMSS"
"20-24","hombres",4.91545418796697,"IMSS"
"25-29","hombres",3.69642154935116,"IMSS"
"30-34","hombres",3.46047974832875,"IMSS"
"35-39","hombres",3.89303971686984,"IMSS"
"40-44","hombres",3.02791977978765,"IMSS"
"45-49","hombres",2.35941801022414,"IMSS"
"50-54","hombres",2.83130161226897,"IMSS"
"55-59","hombres",2.08415257569799,"IMSS"
"60-64","hombres",1.88753440817932,"IMSS"
"65+","hombres",5.23004325599685,"IMSS"
"0-4","Mujeres",2.2911051212938,"ISSSTE"
"5-9","Mujeres",2.83018867924528,"ISSSTE"
"10-14","Mujeres",2.83018867924528,"ISSSTE"
"15-19","Mujeres",3.63881401617251,"ISSSTE"
"20-24","Mujeres",2.15633423180593,"ISSSTE"
"25-29","Mujeres",2.2911051212938,"ISSSTE"
"30-34","Mujeres",3.23450134770889,"ISSSTE"
"35-39","Mujeres",3.36927223719677,"ISSSTE"
"40-44","Mujeres",4.44743935309973,"ISSSTE"
"45-49","Mujeres",5.79514824797844,"ISSSTE"
"50-54","Mujeres",5.5256064690027,"ISSSTE"
"55-59","Mujeres",4.98652291105121,"ISSSTE"
"60-64","Mujeres",4.71698113207547,"ISSSTE"
"65+","Mujeres",11.0512129380054,"ISSSTE"
"0-4","hombres",1.75202156334232,"ISSSTE"
"5-9","hombres",2.56064690026954,"ISSSTE"
"10-14","hombres",2.42587601078167,"ISSSTE"
"15-19","hombres",3.36927223719677,"ISSSTE"
"20-24","hombres",1.48247978436658,"ISSSTE"
"25-29","hombres",1.48247978436658,"ISSSTE"
"30-34","hombres",1.61725067385445,"ISSSTE"
"35-39","hombres",2.2911051212938,"ISSSTE"
"40-44","hombres",2.42587601078167,"ISSSTE"
"45-49","hombres",2.56064690026954,"ISSSTE"
"50-54","hombres",4.98652291105121,"ISSSTE"
"55-59","hombres",3.90835579514825,"ISSSTE"
"60-64","hombres",2.96495956873315,"ISSSTE"
"65+","hombres",7.00808625336927,"ISSSTE"
"0-4","Mujeres",4.09781890284204,"Seguro Popular"
"5-9","Mujeres",6.01454064771976,"Seguro Popular"
"10-14","Mujeres",5.3536021150033,"Seguro Popular"
"15-19","Mujeres",4.36219431592862,"Seguro Popular"
"20-24","Mujeres",4.49438202247191,"Seguro Popular"
"25-29","Mujeres",3.63516192994052,"Seguro Popular"
"30-34","Mujeres",3.76734963648381,"Seguro Popular"
"35-39","Mujeres",3.23859881031064,"Seguro Popular"
"40-44","Mujeres",5.15532055518837,"Seguro Popular"
"45-49","Mujeres",4.29610046265697,"Seguro Popular"
"50-54","Mujeres",3.172504957039,"Seguro Popular"
"55-59","Mujeres",2.37937871777925,"Seguro Popular"
"60-64","Mujeres",1.38797091870456,"Seguro Popular"
"65+","Mujeres",5.22141440846001,"Seguro Popular"
"0-4","hombres",3.96563119629874,"Seguro Popular"
"5-9","hombres",5.81625908790483,"Seguro Popular"
"10-14","hombres",4.03172504957039,"Seguro Popular"
"15-19","hombres",4.09781890284204,"Seguro Popular"
"20-24","hombres",2.3132848645076,"Seguro Popular"
"25-29","hombres",2.57766027759418,"Seguro Popular"
"30-34","hombres",2.97422339722406,"Seguro Popular"
"35-39","hombres",2.57766027759418,"Seguro Popular"
"40-44","hombres",2.84203569068077,"Seguro Popular"
"45-49","hombres",3.0403172504957,"Seguro Popular"
"50-54","hombres",2.90812954395241,"Seguro Popular"
"55-59","hombres",2.04890945142102,"Seguro Popular"
"60-64","hombres",1.38797091870456,"Seguro Popular"
"65+","hombres",2.84203569068077,"Seguro Popular"
"0-4","Mujeres",1.14942528735632,"Seguro Privado"
"5-9","Mujeres",6.89655172413793,"Seguro Privado"
"10-14","Mujeres",3.44827586206897,"Seguro Privado"
"15-19","Mujeres",6.89655172413793,"Seguro Privado"
"20-24","Mujeres",2.29885057471264,"Seguro Privado"
"25-29","Mujeres",2.29885057471264,"Seguro Privado"
"30-34","Mujeres",2.29885057471264,"Seguro Privado"
"35-39","Mujeres",2.29885057471264,"Seguro Privado"
"40-44","Mujeres",4.59770114942529,"Seguro Privado"
"45-49","Mujeres",5.74712643678161,"Seguro Privado"
"50-54","Mujeres",6.89655172413793,"Seguro Privado"
"55-59","Mujeres",3.44827586206897,"Seguro Privado"
"60-64","Mujeres",0,"Seguro Privado"
"65+","Mujeres",5.74712643678161,"Seguro Privado"
"0-4","hombres",2.29885057471264,"Seguro Privado"
"5-9","hombres",3.44827586206897,"Seguro Privado"
"10-14","hombres",2.29885057471264,"Seguro Privado"
"15-19","hombres",3.44827586206897,"Seguro Privado"
"20-24","hombres",1.14942528735632,"Seguro Privado"
"25-29","hombres",3.44827586206897,"Seguro Privado"
"30-34","hombres",1.14942528735632,"Seguro Privado"
"35-39","hombres",3.44827586206897,"Seguro Privado"
"40-44","hombres",10.3448275862069,"Seguro Privado"
"45-49","hombres",1.14942528735632,"Seguro Privado"
"50-54","hombres",5.74712643678161,"Seguro Privado"
"55-59","hombres",4.59770114942529,"Seguro Privado"
"60-64","hombres",0,"Seguro Privado"
"65+","hombres",3.44827586206897,"Seguro Privado"
