 edad,sexo,percentage,total_population,count_educacion_inicial
"1","Hombre","7.04607046070461","369","26"
"1","Mujer","6.41891891891892","296","19"
"2","Hombre","10.9263657957245","421","46"
"2","Mujer","12.1779859484778","427","52"
"3","Hombre","11.6222760290557","413","48"
"3","Mujer","11.3065326633166","398","45"
"4","Hombre","37.5968992248062","516","194"
"4","Mujer","42.2174840085288","469","198"
"5","Hombre","83.3333333333333","534","445"
"5","Mujer","84.2323651452282","482","406"
