 Edad,Rango,Alcaldia,Porcentaje
"0-5","5.9-6.3","Alvaro Obregon","6.27"
"0-5","5.9-6.3","Azcapotzalco","6.01"
"0-5","4.6-5.8","Benito Juarez","4.68"
"0-5","4.6-5.8","Coyoacan","5.35"
"0-5","7.1-8.5","Cuajimalpa","8.07"
"0-5","4.6-5.8","Cuauhtemoc","5.80"
"0-5","6.4-7.0","Gustavo A. Madero","6.64"
"0-5","5.9-6.3","Iztacalco","6.19"
"0-5","6.4-7.0","Iztapalapa","6.94"
"0-5","6.4-7.0","La Magdalena Contreras","6.53"
"0-5","5.9-6.3","Miguel Hidalgo","6.03"
"0-5","7.1-8.5","Milpa Alta","8.40"
"0-5","7.1-8.5","Tlahuac","7.48"
"0-5","5.9-6.3","Tlalpan","6.21"
"0-5","6.4-7.0","Venustiano Carranza","6.48"
"0-5","6.4-7.0","Xochimilco","6.96"
"6-11","7.6-8.5","Alvaro Obregon","7.61"
"6-11","6.6-7.5","Azcapotzalco","6.65"
"6-11","4.7-6.5","Benito Juarez","4.70"
"6-11","4.7-6.5","Coyoacan","6.10"
"6-11","7.6-8.5","Cuajimalpa","8.42"
"6-11","4.7-6.5","Cuauhtemoc","6.18"
"6-11","6.6-7.5","Gustavo A. Madero","7.45"
"6-11","6.6-7.5","Iztacalco","7.12"
"6-11","8.5-10.15","Iztapalapa","8.56"
"6-11","7.6-8.5","La Magdalena Contreras","8.19"
"6-11","4.7-6.5","Miguel Hidalgo","6.08"
"6-11","8.5-10.15","Milpa Alta","10.13"
"6-11","8.5-10.15","Tlahuac","9.16"
"6-11","7.6-8.5","Tlalpan","8.01"
"6-11","6.6-7.5","Venustiano Carranza","7.32"
"6-11","8.5-10.15","Xochimilco","8.62"
"12-14","4.1-4.5","Alvaro Obregon","4.06"
"12-14","3.6-4.0","Azcapotzalco","3.63"
"12-14","2.4-3.5","Benito Juarez","2.42"
"12-14","2.4-3.5","Coyoacan","3.42"
"12-14","4.1-4.5","Cuajimalpa","4.33"
"12-14","2.4-3.5","Cuauhtemoc","3.32"
"12-14","3.6-4.0","Gustavo A. Madero","4.01"
"12-14","3.6-4.0","Iztacalco","3.83"
"12-14","4.1-4.5","Iztapalapa","4.49"
"12-14","4.1-4.5","La Magdalena Contreras","4.42"
"12-14","2.4-3.5","Miguel Hidalgo","3.19"
"12-14","4.6-5.3","Milpa Alta","5.25"
"12-14","4.6-5.3","Tlahuac","4.79"
"12-14","4.1-4.5","Tlalpan","4.24"
"12-14","3.6-4.0","Venustiano Carranza","3.81"
"12-14","4.6-5.3","Xochimilco","4.57"
"15-17","3.9-4.2","Alvaro Obregon","4.22"
"15-17","2.4-3.8","Azcapotzalco","3.79"
"15-17","2.4-3.8","Benito Juarez","2.48"
"15-17","2.4-3.8","Coyoacan","3.68"
"15-17","4.3-4.6","Cuajimalpa","4.54"
"15-17","2.4-3.8","Cuauhtemoc","3.36"
"15-17","3.9-4.2","Gustavo A. Madero","4.20"
"15-17","3.9-4.2","Iztacalco","4.00"
"15-17","4.3-4.6","Iztapalapa","4.62"
"15-17","4.3-4.6","La Magdalena Contreras","4.51"
"15-17","2.4-3.8","Miguel Hidalgo","3.20"
"15-17","4.7-5.3","Milpa Alta","5.29"
"15-17","4.7-5.3","Tlahuac","4.91"
"15-17","4.3-4.6","Tlalpan","4.40"
"15-17","3.9-4.2","Venustiano Carranza","3.98"
"15-17","4.3-4.6","Xochimilco","4.66"
"18-29","18.3-18.9","Alvaro Obregon","18.92"
"18-29","16.2-18.2","Azcapotzalco","17.94"
"18-29","16.2-18.2","Benito Juarez","16.23"
"18-29","16.2-18.2","Coyoacan","18.18"
"18-29","19.9-21","Cuajimalpa","20.06"
"18-29","18.3-18.9","Cuauhtemoc","18.68"
"18-29","18.3-18.9","Gustavo A. Madero","18.59"
"18-29","18.3-18.9","Iztacalco","18.28"
"18-29","19-19.8","Iztapalapa","19.66"
"18-29","19-19.8","La Magdalena Contreras","19.20"
"18-29","16.2-18.2","Miguel Hidalgo","17.43"
"18-29","19.9-21","Milpa Alta","20.77"
"18-29","19.9-21","Tlahuac","20.44"
"18-29","19-19.8","Tlalpan","19.47"
"18-29","16.2-18.2","Venustiano Carranza","18.13"
"18-29","19-19.8","Xochimilco","19.89"
"30-59 ","43.4-49.4","Alvaro Obregon","42.79"
"30-59 ","43.4-49.4","Azcapotzalco","43.76"
"30-59","43.4-49.4","Benito Juarez","49.36"
"30-59","42.6-43.3","Coyoacan","42.67"
"30-59","42.6-43.3","Cuajimalpa","42.72"
"30-59","43.4-49.4","Cuauhtemoc","45.49"
"30-59","41.7-42.5","Gustavo A. Madero","41.76"
"30-59","42.6-43.3","Iztacalco","43.06"
"30-59","39.4-41.7","Iztapalapa","41.45"
"30-59","41.7-42.5","La Magdalena Contreras","41.78"
"30-59","43.4-49.4","Miguel Hidalgo","46.66"
"30-59","39.4-41.7","Milpa Alta","39.39"
"30-59","39.4-41.7","Tlahuac","41.44"
