 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2015","Hombres","Ciudad de México","Hasta 4 años","0.267377317845959"
"Álvaro Obregón","2015","Hombres","Ciudad de México","5 a 9 años","0.28593399475026"
"Álvaro Obregón","2015","Hombres","Ciudad de México","10 a 14 años","0.303673780464246"
"Álvaro Obregón","2015","Hombres","Ciudad de México","15 a 19 años","0.324548662097816"
"Álvaro Obregón","2015","Hombres","Ciudad de México","20 a 24 años","0.350313851803133"
"Álvaro Obregón","2015","Hombres","Ciudad de México","25 a 29 años","0.345346270240411"
"Álvaro Obregón","2015","Hombres","Ciudad de México","30 a 34 años","0.322219418298407"
"Álvaro Obregón","2015","Hombres","Ciudad de México","35 a 39 años","0.305329640985153"
"Álvaro Obregón","2015","Hombres","Ciudad de México","40 a 44 años","0.295515907631243"
"Álvaro Obregón","2015","Hombres","Ciudad de México","45 a 49 años","0.264860409854181"
"Álvaro Obregón","2015","Hombres","Ciudad de México","50 a 54 años","0.232946458081229"
"Álvaro Obregón","2015","Hombres","Ciudad de México","55 a 59 años","0.198206504352595"
"Álvaro Obregón","2015","Hombres","Ciudad de México","60 a 64 años","0.155860631297928"
"Álvaro Obregón","2015","Hombres","Ciudad de México","65 y más","0.308321228992926"
"Álvaro Obregón","2016","Hombres","Ciudad de México","Hasta 4 años","0.26063647077145"
"Álvaro Obregón","2016","Hombres","Ciudad de México","5 a 9 años","0.279412723009414"
"Álvaro Obregón","2016","Hombres","Ciudad de México","10 a 14 años","0.298862711357092"
"Álvaro Obregón","2016","Hombres","Ciudad de México","15 a 19 años","0.319163153482608"
"Álvaro Obregón","2016","Hombres","Ciudad de México","20 a 24 años","0.346709020001127"
"Álvaro Obregón","2016","Hombres","Ciudad de México","25 a 29 años","0.347228128151235"
"Álvaro Obregón","2016","Hombres","Ciudad de México","30 a 34 años","0.325447675555197"
"Álvaro Obregón","2016","Hombres","Ciudad de México","35 a 39 años","0.304904246636014"
"Álvaro Obregón","2016","Hombres","Ciudad de México","40 a 44 años","0.295438806537228"
"Álvaro Obregón","2016","Hombres","Ciudad de México","45 a 49 años","0.267760401767618"
"Álvaro Obregón","2016","Hombres","Ciudad de México","50 a 54 años","0.236194208299324"
"Álvaro Obregón","2016","Hombres","Ciudad de México","55 a 59 años","0.203788605907451"
"Álvaro Obregón","2016","Hombres","Ciudad de México","60 a 64 años","0.1624366715669"
"Álvaro Obregón","2016","Hombres","Ciudad de México","65 y más","0.320709433078676"
"Álvaro Obregón","2017","Hombres","Ciudad de México","Hasta 4 años","0.255528569404689"
"Álvaro Obregón","2017","Hombres","Ciudad de México","5 a 9 años","0.273441980770213"
"Álvaro Obregón","2017","Hombres","Ciudad de México","10 a 14 años","0.293941288656114"
"Álvaro Obregón","2017","Hombres","Ciudad de México","15 a 19 años","0.314164325546249"
"Álvaro Obregón","2017","Hombres","Ciudad de México","20 a 24 años","0.341603560845814"
"Álvaro Obregón","2017","Hombres","Ciudad de México","25 a 29 años","0.34809040382642"
"Álvaro Obregón","2017","Hombres","Ciudad de México","30 a 34 años","0.328806688321892"
"Álvaro Obregón","2017","Hombres","Ciudad de México","35 a 39 años","0.306262975067316"
"Álvaro Obregón","2017","Hombres","Ciudad de México","40 a 44 años","0.295278440275626"
"Álvaro Obregón","2017","Hombres","Ciudad de México","45 a 49 años","0.270933440128649"
"Álvaro Obregón","2017","Hombres","Ciudad de México","50 a 54 años","0.239239631494275"
"Álvaro Obregón","2017","Hombres","Ciudad de México","55 a 59 años","0.208451991726015"
"Álvaro Obregón","2017","Hombres","Ciudad de México","60 a 64 años","0.16823798558219"
"Álvaro Obregón","2017","Hombres","Ciudad de México","65 y más","0.332773939821105"
"Álvaro Obregón","2018","Hombres","Ciudad de México","Hasta 4 años","0.25103427070712"
"Álvaro Obregón","2018","Hombres","Ciudad de México","5 a 9 años","0.267392365890441"
"Álvaro Obregón","2018","Hombres","Ciudad de México","10 a 14 años","0.288838171543219"
"Álvaro Obregón","2018","Hombres","Ciudad de México","15 a 19 años","0.309587182066484"
"Álvaro Obregón","2018","Hombres","Ciudad de México","20 a 24 años","0.335844192184945"
"Álvaro Obregón","2018","Hombres","Ciudad de México","25 a 29 años","0.348032576831341"
"Álvaro Obregón","2018","Hombres","Ciudad de México","30 a 34 años","0.331984168372248"
"Álvaro Obregón","2018","Hombres","Ciudad de México","35 a 39 años","0.308613880933197"
"Álvaro Obregón","2018","Hombres","Ciudad de México","40 a 44 años","0.294567375941434"
"Álvaro Obregón","2018","Hombres","Ciudad de México","45 a 49 años","0.273685642536356"
"Álvaro Obregón","2018","Hombres","Ciudad de México","50 a 54 años","0.242263500267381"
"Álvaro Obregón","2018","Hombres","Ciudad de México","55 a 59 años","0.212677357863471"
"Álvaro Obregón","2018","Hombres","Ciudad de México","60 a 64 años","0.173966517334991"
"Álvaro Obregón","2018","Hombres","Ciudad de México","65 y más","0.3453559987148"
"Álvaro Obregón","2019","Hombres","Ciudad de México","Hasta 4 años","0.247153953737997"
"Álvaro Obregón","2019","Hombres","Ciudad de México","5 a 9 años","0.261194149667381"
"Álvaro Obregón","2019","Hombres","Ciudad de México","10 a 14 años","0.283516732469935"
"Álvaro Obregón","2019","Hombres","Ciudad de México","15 a 19 años","0.305374261464102"
"Álvaro Obregón","2019","Hombres","Ciudad de México","20 a 24 años","0.329889240791907"
"Álvaro Obregón","2019","Hombres","Ciudad de México","25 a 29 años","0.346896922927186"
"Álvaro Obregón","2019","Hombres","Ciudad de México","30 a 34 años","0.334783378489689"
"Álvaro Obregón","2019","Hombres","Ciudad de México","35 a 39 años","0.311729996845385"
"Álvaro Obregón","2019","Hombres","Ciudad de México","40 a 44 años","0.293747916254439"
"Álvaro Obregón","2019","Hombres","Ciudad de México","45 a 49 años","0.275765835663493"
"Álvaro Obregón","2019","Hombres","Ciudad de México","50 a 54 años","0.245326956633622"
"Álvaro Obregón","2019","Hombres","Ciudad de México","55 a 59 años","0.216493620513656"
"Álvaro Obregón","2019","Hombres","Ciudad de México","60 a 64 años","0.179543988166374"
"Álvaro Obregón","2019","Hombres","Ciudad de México","65 y más","0.358467904588232"
"Álvaro Obregón","2020","Hombres","Ciudad de México","Hasta 4 años","0.243883643274572"
"Álvaro Obregón","2020","Hombres","Ciudad de México","5 a 9 años","0.254816549492745"
"Álvaro Obregón","2020","Hombres","Ciudad de México","10 a 14 años","0.278079467591861"
"Álvaro Obregón","2020","Hombres","Ciudad de México","15 a 19 años","0.30123150428917"
"Álvaro Obregón","2020","Hombres","Ciudad de México","20 a 24 años","0.324172866323045"
"Álvaro Obregón","2020","Hombres","Ciudad de México","25 a 29 años","0.344563956115359"
"Álvaro Obregón","2020","Hombres","Ciudad de México","30 a 34 años","0.337134902194287"
"Álvaro Obregón","2020","Hombres","Ciudad de México","35 a 39 años","0.315313442318663"
"Álvaro Obregón","2020","Hombres","Ciudad de México","40 a 44 años","0.293203690798341"
"Álvaro Obregón","2020","Hombres","Ciudad de México","45 a 49 años","0.277059358695236"
"Álvaro Obregón","2020","Hombres","Ciudad de México","50 a 54 años","0.248418692608479"
"Álvaro Obregón","2020","Hombres","Ciudad de México","55 a 59 años","0.219999789325337"
"Álvaro Obregón","2020","Hombres","Ciudad de México","60 a 64 años","0.184861473092687"
"Álvaro Obregón","2020","Hombres","Ciudad de México","65 y más","0.372095808184045"
