 pob,año,sexo,alcaldia,grupo_edad
"11430","2015","Mujeres","Azcapotzalco","00-04"
"11021","2016","Mujeres","Azcapotzalco","00-04"
"10675","2017","Mujeres","Azcapotzalco","00-04"
"10368","2018","Mujeres","Azcapotzalco","00-04"
"10102","2019","Mujeres","Azcapotzalco","00-04"
"9878","2020","Mujeres","Azcapotzalco","00-04"
"9670","2021","Mujeres","Azcapotzalco","00-04"
"9468","2022","Mujeres","Azcapotzalco","00-04"
"9287","2023","Mujeres","Azcapotzalco","00-04"
"9126","2024","Mujeres","Azcapotzalco","00-04"
"8983","2025","Mujeres","Azcapotzalco","00-04"
"8859","2026","Mujeres","Azcapotzalco","00-04"
"8753","2027","Mujeres","Azcapotzalco","00-04"
"8664","2028","Mujeres","Azcapotzalco","00-04"
"8593","2029","Mujeres","Azcapotzalco","00-04"
"8537","2030","Mujeres","Azcapotzalco","00-04"
"15777","2015","Mujeres","Coyoacán","00-04"
"15193","2016","Mujeres","Coyoacán","00-04"
"14693","2017","Mujeres","Coyoacán","00-04"
"14246","2018","Mujeres","Coyoacán","00-04"
"13854","2019","Mujeres","Coyoacán","00-04"
"13521","2020","Mujeres","Coyoacán","00-04"
"13211","2021","Mujeres","Coyoacán","00-04"
"12911","2022","Mujeres","Coyoacán","00-04"
"12642","2023","Mujeres","Coyoacán","00-04"
"12404","2024","Mujeres","Coyoacán","00-04"
"12197","2025","Mujeres","Coyoacán","00-04"
"12020","2026","Mujeres","Coyoacán","00-04"
"11874","2027","Mujeres","Coyoacán","00-04"
"11758","2028","Mujeres","Coyoacán","00-04"
"11674","2029","Mujeres","Coyoacán","00-04"
"11620","2030","Mujeres","Coyoacán","00-04"
"7436","2015","Mujeres","Cuajimalpa de Morelos","00-04"
"7316","2016","Mujeres","Cuajimalpa de Morelos","00-04"
"7218","2017","Mujeres","Cuajimalpa de Morelos","00-04"
"7127","2018","Mujeres","Cuajimalpa de Morelos","00-04"
"7045","2019","Mujeres","Cuajimalpa de Morelos","00-04"
"6972","2020","Mujeres","Cuajimalpa de Morelos","00-04"
"6889","2021","Mujeres","Cuajimalpa de Morelos","00-04"
"6788","2022","Mujeres","Cuajimalpa de Morelos","00-04"
"6678","2023","Mujeres","Cuajimalpa de Morelos","00-04"
"6557","2024","Mujeres","Cuajimalpa de Morelos","00-04"
"6425","2025","Mujeres","Cuajimalpa de Morelos","00-04"
"6279","2026","Mujeres","Cuajimalpa de Morelos","00-04"
"6120","2027","Mujeres","Cuajimalpa de Morelos","00-04"
"5944","2028","Mujeres","Cuajimalpa de Morelos","00-04"
"5753","2029","Mujeres","Cuajimalpa de Morelos","00-04"
"5548","2030","Mujeres","Cuajimalpa de Morelos","00-04"
"36643","2015","Mujeres","Gustavo A. Madero","00-04"
"35481","2016","Mujeres","Gustavo A. Madero","00-04"
"34497","2017","Mujeres","Gustavo A. Madero","00-04"
"33621","2018","Mujeres","Gustavo A. Madero","00-04"
"32856","2019","Mujeres","Gustavo A. Madero","00-04"
"32209","2020","Mujeres","Gustavo A. Madero","00-04"
"31590","2021","Mujeres","Gustavo A. Madero","00-04"
"30970","2022","Mujeres","Gustavo A. Madero","00-04"
"30394","2023","Mujeres","Gustavo A. Madero","00-04"
"29858","2024","Mujeres","Gustavo A. Madero","00-04"
"29360","2025","Mujeres","Gustavo A. Madero","00-04"
"28895","2026","Mujeres","Gustavo A. Madero","00-04"
"28463","2027","Mujeres","Gustavo A. Madero","00-04"
"28061","2028","Mujeres","Gustavo A. Madero","00-04"
"27689","2029","Mujeres","Gustavo A. Madero","00-04"
"27343","2030","Mujeres","Gustavo A. Madero","00-04"
"11453","2015","Mujeres","Iztacalco","00-04"
"11083","2016","Mujeres","Iztacalco","00-04"
"10772","2017","Mujeres","Iztacalco","00-04"
"10499","2018","Mujeres","Iztacalco","00-04"
"10265","2019","Mujeres","Iztacalco","00-04"
"10070","2020","Mujeres","Iztacalco","00-04"
"9886","2021","Mujeres","Iztacalco","00-04"
"9703","2022","Mujeres","Iztacalco","00-04"
"9537","2023","Mujeres","Iztacalco","00-04"
"9383","2024","Mujeres","Iztacalco","00-04"
"9242","2025","Mujeres","Iztacalco","00-04"
"9112","2026","Mujeres","Iztacalco","00-04"
"8991","2027","Mujeres","Iztacalco","00-04"
"8879","2028","Mujeres","Iztacalco","00-04"
"8775","2029","Mujeres","Iztacalco","00-04"
