 sexo,Question,Percentage,grupo_edad
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.964923718868171","11-15"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.12544008345286","16-20"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.02516625374886","21-25"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.88081888121007","26-30"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","8.29312817838049","31-35"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","8.78862954752901","36-40"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.4325205372278","41-45"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","4.72030251662537","46-50"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.41230929717043","51-55"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.39522753944452","56-60"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.625896466292867","61-65"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.482461859434085","66-70"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.156474116573217","71-75"
"Hombre","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0521580388577389","76-80"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.534619898291824","11-15"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.8776893988786","16-20"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.38531751206155","21-25"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","10.1838570869735","26-30"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","11.3574129612727","31-35"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","10.4837658104055","36-40"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.30212544008345","41-45"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.89881340461599","46-50"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.31699048115791","51-55"
"Mujer","Llevó y/o recogió de la guardería, de clases, de la casa de algún familiar o amigo para ser cuidado, a los integrantes del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.730212544008345","56-60"
