 nivel,conteo,alcaldia
"Preescolar","386","IZTAP"
"Preescolar","231","GAM"
"Preescolar","160","AO"
"Preescolar","156","TLAL"
"Preescolar","141","COY"
"Preescolar","138","BJ"
"Preescolar","97","MH"
"Preescolar","89","CUAU"
"Preescolar","80","CUAJ"
"Preescolar","76","VC"
"Preescolar","71","IZTAC"
"Preescolar","67","AZC"
"Preescolar","67","XOCH"
"Preescolar","51","TLAH"
"Preescolar","44","MC"
"INICIAL","25","GAM"
"INICIAL","20","MH"
"INICIAL","17","AO"
"INICIAL","17","BJ"
"INICIAL","13","IZTAP"
"Preescolar","13","MA"
"INICIAL","12","COY"
"INICIAL","11","CUAU"
"INICIAL","9","TLAL"
"Preescolar - Inicial *","8","GAM"
"INICIAL","6","AZC"
"INICIAL","6","VC"
"INICIAL","6","XOCH"
"INICIAL","5","CUAJ"
"Preescolar - Inicial *","5","COY"
"Preescolar - Inicial *","5","IZTAP"
"Preescolar - Inicial *","5","MH"
"INICIAL","4","IZTAC"
"INICIAL","4","MC"
"Preescolar - Inicial *","4","BJ"
"INICIAL","3","TLAH"
"Preescolar - Inicial *","3","AO"
"Preescolar - Inicial *","3","CUAU"
"Preescolar - Inicial *","3","TLAL"
"Preescolar","2","NA"
"Preescolar - Inicial *","2","AZC"
"INICIAL","1","MA"
"Preescolar - Inicial *","1","CUAJ"
"Preescolar - Inicial *","1","MC"
"Preescolar - Inicial *","1","TLAH"
"Preescolar - Inicial *","1","VC"
