Alcaldia,Fecha,Categoria,Valor
Milpa Alta,2017-03-31,Hombres,7.5
Milpa Alta,2017-03-31,Mujeres,21.4
Milpa Alta,2017-06-30,Hombres,13.8
Milpa Alta,2017-06-30,Mujeres,22.7
Milpa Alta,2017-09-30,Hombres,16.3
Milpa Alta,2017-09-30,Mujeres,63.3
Milpa Alta,2017-12-31,Hombres,13.3
Milpa Alta,2017-12-31,Mujeres,57.8
Milpa Alta,2018-03-31,Hombres,42.1
Milpa Alta,2018-03-31,Mujeres,41.5
Milpa Alta,2018-06-30,Hombres,26.6
Milpa Alta,2018-06-30,Mujeres,69.3
Milpa Alta,2018-09-30,Hombres,31.9
Milpa Alta,2018-09-30,Mujeres,37.4
Milpa Alta,2018-12-31,Hombres,28.5
Milpa Alta,2018-12-31,Mujeres,23.5
Milpa Alta,2019-03-31,Hombres,44.3
Milpa Alta,2019-03-31,Mujeres,30.2
Milpa Alta,2019-06-30,Hombres,26.6
Milpa Alta,2019-06-30,Mujeres,61.0
Milpa Alta,2019-09-30,Hombres,28.2
Milpa Alta,2019-09-30,Mujeres,34.7
Milpa Alta,2019-12-31,Hombres,26.2
Milpa Alta,2019-12-31,Mujeres,34.3
Milpa Alta,2020-09-30,Hombres,15.6
Milpa Alta,2020-09-30,Mujeres,28.5
Milpa Alta,2020-12-31,Hombres,20.7
Milpa Alta,2020-12-31,Mujeres,32.6
Milpa Alta,2021-06-30,Hombres,18.7
Milpa Alta,2021-06-30,Mujeres,32.6
Milpa Alta,2021-09-30,Hombres,20.6
Milpa Alta,2021-09-30,Mujeres,34.5
Milpa Alta,2021-12-31,Hombres,18.4
Milpa Alta,2021-12-31,Mujeres,35.3
Milpa Alta,2022-03-31,Hombres,14.6
Milpa Alta,2022-03-31,Mujeres,30.0
Milpa Alta,2022-06-30,Hombres,20.1
Milpa Alta,2022-06-30,Mujeres,33.0
Milpa Alta,2022-09-30,Hombres,23.1
Milpa Alta,2022-09-30,Mujeres,32.7
Milpa Alta,2022-12-31,Hombres,22.8
Milpa Alta,2022-12-31,Mujeres,36.4
Milpa Alta,2023-03-31,Hombres,22.5
Milpa Alta,2023-03-31,Mujeres,33.1
Milpa Alta,2023-06-30,Hombres,20.7
Milpa Alta,2023-06-30,Mujeres,35.2
Milpa Alta,2023-09-30,Hombres,18.5
Milpa Alta,2023-09-30,Mujeres,31.6
Milpa Alta,2023-12-31,Hombres,21.7
Milpa Alta,2023-12-31,Mujeres,34.1
Milpa Alta,2024-03-31,Hombres,17.8
Milpa Alta,2024-03-31,Mujeres,30.2
Milpa Alta,2024-06-30,Hombres,19.7
Milpa Alta,2024-06-30,Mujeres,29.4
Milpa Alta,2024-09-30,Hombres,17.0
Milpa Alta,2024-09-30,Mujeres,27.3
Cuajimalpa de Morelos,2017-03-31,Hombres,51.6
Cuajimalpa de Morelos,2017-03-31,Mujeres,29.4
Cuajimalpa de Morelos,2017-06-30,Hombres,56.0
Cuajimalpa de Morelos,2017-06-30,Mujeres,22.2
Cuajimalpa de Morelos,2017-09-30,Hombres,66.2
Cuajimalpa de Morelos,2017-09-30,Mujeres,33.8
Cuajimalpa de Morelos,2017-12-31,Hombres,40.0
Cuajimalpa de Morelos,2017-12-31,Mujeres,
Cuajimalpa de Morelos,2018-03-31,Hombres,
Cuajimalpa de Morelos,2018-03-31,Mujeres,100.0
Cuajimalpa de Morelos,2018-06-30,Hombres,
Cuajimalpa de Morelos,2018-06-30,Mujeres,66.7
Cuajimalpa de Morelos,2018-09-30,Hombres,20.4
Cuajimalpa de Morelos,2018-09-30,Mujeres,27.9
Cuajimalpa de Morelos,2018-12-31,Hombres,27.3
Cuajimalpa de Morelos,2018-12-31,Mujeres,32.0
Cuajimalpa de Morelos,2019-03-31,Hombres,22.3
Cuajimalpa de Morelos,2019-03-31,Mujeres,42.2
Cuajimalpa de Morelos,2019-06-30,Hombres,21.2
Cuajimalpa de Morelos,2019-06-30,Mujeres,18.7
Cuajimalpa de Morelos,2019-09-30,Hombres,21.0
Cuajimalpa de Morelos,2019-09-30,Mujeres,38.4
Cuajimalpa de Morelos,2019-12-31,Hombres,21.3
Cuajimalpa de Morelos,2019-12-31,Mujeres,31.7
Cuajimalpa de Morelos,2020-09-30,Hombres,10.9
Cuajimalpa de Morelos,2020-09-30,Mujeres,23.3
Cuajimalpa de Morelos,2020-12-31,Hombres,16.9
Cuajimalpa de Morelos,2020-12-31,Mujeres,21.7
Cuajimalpa de Morelos,2021-06-30,Hombres,11.2
Cuajimalpa de Morelos,2021-06-30,Mujeres,26.7
Cuajimalpa de Morelos,2021-09-30,Hombres,19.8
Cuajimalpa de Morelos,2021-09-30,Mujeres,28.0
Cuajimalpa de Morelos,2021-12-31,Hombres,18.3
Cuajimalpa de Morelos,2021-12-31,Mujeres,32.0
Cuajimalpa de Morelos,2022-03-31,Hombres,19.1
Cuajimalpa de Morelos,2022-03-31,Mujeres,31.5
Cuajimalpa de Morelos,2022-06-30,Hombres,16.4
Cuajimalpa de Morelos,2022-06-30,Mujeres,26.6
Cuajimalpa de Morelos,2022-09-30,Hombres,10.2
Cuajimalpa de Morelos,2022-09-30,Mujeres,15.6
Cuajimalpa de Morelos,2022-12-31,Hombres,12.1
Cuajimalpa de Morelos,2022-12-31,Mujeres,16.6
Cuajimalpa de Morelos,2023-03-31,Hombres,12.4
Cuajimalpa de Morelos,2023-03-31,Mujeres,15.1
Cuajimalpa de Morelos,2023-06-30,Hombres,12.4
