persona_id,hogar_id,vivienda_id,upm_diseno,estrato_diseno,anio,cobertura,edad,sexo_codigo,sexo,grupo_edad,factor,asiste_servicio_educativo_cuidado,razon_no_asiste_codigo,razon_no_asiste,horas_diarias_servicio,pago_mensual_servicio_pesos,pago_mensual_topado_98000,modulo_0a5_aplicable,recibio_cuidado_dentro_hogar,recibio_cuidado_otro_hogar,cuidado_otro_hogar_remunerado,pago_semanal_cuidado_externo_pesos,pago_semanal_topado_98000,necesita_mas_cuidado_modulo_0a5,complementaria_con_servicio_educativo_cuidado,cuidador_principal_parentesco_codigo,cuidador_principal_parentesco,cuidador_principal_sexo_codigo,cuidador_principal_edad,n_integrantes,n_ninos_0a5,n_adultos_18mas,barrera_economica_distancia_horario,necesidad_y_preferencia_servicio,P3_10,P3_11,P3_12,P3_14,PN_C0005,P4_16,P4_18,P4_18A,P4_19,P4_21,P4_22,P4_24,P4_25_2,cuidador_id,cuidador_cpea_codigo,cuidador_participa_mercado_laboral
00102104,001021,102,00001,0003,2022,nacional,4,2,mujer,3-5,1593,1,,,1.0,,0,1,0.0,0.0,,,0,0.0,,,,,,4,1,2,,0.0,1,,1.0,99999.0,1,2.0,00,,2.0,,,2.0,,,,
00105105,001051,105,00001,0003,2022,nacional,3,1,hombre,3-5,1593,1,,,4.0,1500.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,32.0,5,1,2,,0.0,1,,4.0,1500.0,1,1.0,02,1.0,2.0,,,2.0,,00105102,1.0,1.0
00502107,005021,502,00005,0002,2022,nacional,3,1,hombre,3-5,1687,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,23.0,7,1,3,0.0,0.0,2,1.0,,,1,1.0,03,1.0,2.0,,,2.0,,00502103,2.0,0.0
00503105,005031,503,00005,0002,2022,nacional,3,1,hombre,3-5,1687,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,40.0,5,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,00503102,2.0,0.0
00801103,008011,801,00008,0003,2022,nacional,3,2,mujer,3-5,1653,1,,,4.0,80.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,4,2,2,,0.0,1,,4.0,80.0,1,1.0,02,1.0,2.0,,,2.0,,00801102,1.0,1.0
00801104,008011,801,00008,0003,2022,nacional,2,1,hombre,0-2,1653,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,4,2,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,00801102,1.0,1.0
00803104,008031,803,00008,0003,2022,nacional,3,1,hombre,3-5,1653,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,29.0,6,3,1,0.0,0.0,2,1.0,,,1,1.0,01,1.0,2.0,,,2.0,,00803101,1.0,1.0
00803105,008031,803,00008,0003,2022,nacional,2,2,mujer,0-2,1653,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,0.0,,1.0,Madre,2.0,29.0,6,3,1,0.0,0.0,2,1.0,,,1,1.0,01,1.0,1.0,2.0,,2.0,,00803101,1.0,1.0
00803106,008031,803,00008,0003,2022,nacional,0,2,mujer,0-2,1653,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,0.0,,1.0,Madre,2.0,29.0,6,3,1,0.0,0.0,2,1.0,,,1,1.0,01,1.0,1.0,2.0,,2.0,,00803101,1.0,1.0
01002104,010021,1002,00010,0002,2022,nacional,0,1,hombre,0-2,1521,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,0.0,,1.0,Madre,2.0,16.0,4,1,1,0.0,0.0,2,1.0,,,1,1.0,02,1.0,1.0,2.0,,2.0,,01002102,2.0,0.0
